fid;code_offic;nom_offici;arbo_prc;arbo_za;arbo_epza;arbo_zu;arbo_epzu;arbu_prc;arbu_za;arbu_epza;arbu_zu;arbu_epzu;herb_prc;herb_za;herb_epza;herb_zu;herb_epzu;tot_arbo;tot_arbu;tot_herb;prct_arbo;prct_arbu;prct_herb;tot_arboru_pub_za;tot_arboru_pub_zu;tot_arboru_pv_za;tot_arboru_pv_zu;tot_arboru_parcs;prct_arboru_pub_za;prct_arboru_pub_zu;prct_arboru_pv_za;prct_arboru_pv_zu;prct_arboru_parcs;s_veg_tot;prct_veg_tot;s_arboru;prct_arboru;prct_hors_tt;co2_pi_ok;es_25_ok;es25_ok;cos_avg_ok;txrboru_ok;co2_pi;es25_pi;pot_ss_oc_dp;pot_df;pot_df_plhg_cms;pot_ext;cos_avg;txarboru_avg
27;13046;Gréasque;3.9;6.12;0.77;50.18;5.2;0.52;1.49;0.17;26.75;1.65;0.67;3.26;0.42;35.62;2.64;60.2;28.76;39.55;27.026704613885116;12.911761207563718;17.75591640330824;0.94;6.85;6.67;70.08;4.42;1.06;7.7;7.5;78.78;4.97;128.51;57.64;88.96;39.9;42.30561777524293;1.99;1874;1874;0.3;33;1.9865515206651403;1873.9451119411976;1165;97;263;30;0.3203664223850766;33.28674883411058
3;13072;Peynier;5.7;4.93;0.32;57.71;4.53;0.31;2.32;0.16;24.37;1.26;0.14;6.93;0.22;48.82;2.21;68.34;27;55.89;26.22464335935801;10.360921432582181;21.447107365445113;0.48;5.79;6.77;76.29;6.01;0.5;6.07;7.1;80.02;6.3;151.23;57.98;95.34;36.55;41.967327842614694;2.26;2054;2054;0.5;29;2.2649110427768977;2053.656865043929;1681;14;304;0;0.4570885093167702;29.166071428571424
19;13032;Éguilles;0.5;4.33;0.29;87.22;4.63;0.09;3.62;0.23;51.72;1.64;0.18;5.79;0.35;64.76;1.95;92.05;55.43;70.73;25.281792832087824;15.224006264884608;19.42619453572593;0.52;6.27;7.43;132.67;0.59;0.35;4.25;5.04;89.96;0.4;218.21;59.89;147.48;40.48;40.06800636730164;2.08;2050;2050;0.4;36;2.081685394736842;2050.007952989269;2555;0;120;0;0.40951197053406957;36.417071823204424
24;13013;Belcodène;0.14;8;2.47;24.56;0.84;0.12;2.66;0.73;11.4;0.32;0.21;8.15;1.79;16.24;0.5;32.7;14.18;24.6;25.555696024167418;11.081950141366786;19.22538599983237;3.2;1.16;7.46;34.8;0.26;6.83;2.47;15.91;74.23;0.55;71.48;55.81;46.88;36.6;44.13696783463343;2.32;2170;2170;0.2;42;2.3152364929805613;2170.0805971922246;416;56;0;25;0.1743013100436681;42.121069868995626
81;13112;Velaux;3.85;4.74;0.55;41.29;3.88;0.8;3.89;0.15;46.85;2.03;2.25;5.23;0.39;41.23;2.56;49.88;51.54;48.71;14.715146872364896;15.20486507220703;14.369984044765316;0.7;5.91;7.93;82.23;4.65;0.69;5.83;7.82;81.08;4.58;150.13;44.26;101.42;29.9;55.710004010662765;1.98;1966;1966;0.3;31;1.9789046438437787;1965.6762816748821;2236;41;178;394;0.2996001583531274;31.459520981789414
28;13104;Sausset-les-Pins;1.83;10.13;4.14;38.08;3.76;0.64;4.27;2.05;31.73;1.9;0.65;6.36;3.4;17.86;1.05;50.04;36.64;24.87;16.418188541145458;12.021631257945034;8.159879077104067;6.19;5.66;8.21;64.15;2.47;7.14;6.53;9.47;74.01;2.85;111.55;36.56;86.68;28.41;63.400301123805434;2.05;1871;1871;0.3;28;2.051298164188352;1870.7882785625775;1486;49;168;0;0.2959160892994609;28.369980754426468
75;13021;Carry-le-Rouet;0.18;8.52;2.6;54.05;4.48;0.07;4.45;1.94;39.06;1.65;0.06;8.62;4.88;24.88;1.32;62.75;43.58;33.56;18.900616039206795;13.126515489858681;10.108441024315221;4.54;6.13;8.43;86.98;0.25;4.27;5.77;7.93;81.8;0.24;139.89;42.09;106.33;31.99;57.8644274466193;2.02;1849;1849;0.3;36;2.0213340471008863;1848.7885233949946;1491;0;23;82;0.26037526652452014;36.20490405117272
30;13092;Saint-Chamas;22.59;5.19;0.27;41.48;3.58;8.34;4.03;0.21;35.92;1.59;0.47;7.27;0.37;41.06;2.23;69.26;48.29;48.8;18.95392177357702;13.215201883425268;13.354770178321662;0.48;5.17;8.74;72.23;30.93;0.41;4.4;7.44;61.45;26.31;166.35;45.49;117.55;32.15;54.476106164676054;2.22;2067;2067;0.5;22;2.2196394671338813;2067.064696713388;1409;0;130;11;0.5273918367346945;22.369028571428565
34;13085;Roquefort-la-Bédoule;3.69;10.26;4.51;33.23;2.13;0.67;5.81;2.7;25.94;1.25;1.5;6.81;3.17;19.19;1.01;47.18;32.42;27.5;18.66142252452132;12.823300513882604;10.877259843669698;7.21;3.38;8.86;55.79;4.36;9.06;4.25;11.13;70.09;5.48;107.1;42.31;79.6;31.44;57.638017117926374;1.85;1776;1776;0.3;32;1.8500400123915737;1775.894815542574;1579;72;149;100;0.28064249363867655;31.558097964376614
29;13107;Simiane-Collongue;0.75;7.56;0.04;14.27;0.85;0.11;1.5;0.02;13.05;0.4;0.38;7.73;0.08;12.52;0.56;22.58;14.66;20.63;19.409909246150864;12.60182770365685;17.733677048188323;0.06;1.25;9;26.07;0.86;0.16;3.36;24.17;70.01;2.31;57.87;49.7;37.24;31.98;50.25458600200396;2;1892;1892;0.5;27;1.9958840310276849;1892.0464830719122;768;0;11;100;0.5122508038585208;26.833654876741694
